id,name,close_approach_date,absolute_magnitude,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_s,miss_distance_km,orbiting_body
3277704,(2005 JR5),2025-11-16,22.1,0.1010543415,0.2259643771,15.6095272926,58594706.659208156,Earth
3468431,(2009 SA100),2025-11-16,23.9,0.04411182,0.0986370281,8.2865047366,63608113.69994324,Earth
3745032,(2016 EH1),2025-11-16,22.66,0.0780827277,0.1745982871,9.8256831507,54167441.32176749,Earth
3892649,(2019 VX1),2025-11-16,22.0,0.1058168859,0.2366137501,16.6897648595,24257910.799166743,Earth
3893865,(2019 XS),2025-11-16,23.84,0.0453476699,0.1014004725,16.6608973315,30082670.68420158,Earth
54142541,(2021 HB3),2025-11-16,24.8,0.0291443905,0.0651688382,9.9142928767,59813770.606287666,Earth
54194339,(2021 RM5),2025-11-16,26.5,0.0133215567,0.0297879063,6.1470843844,23970831.8433659,Earth
54219789,(2021 VW11),2025-11-16,25.5,0.0211132445,0.0472106499,11.7297227649,15407843.780651102,Earth
54528330,(2025 HV18),2025-11-16,23.49,0.0532788665,0.1191351672,8.6312065506,19369184.487526167,Earth
54541500,(2025 QG3),2025-11-16,22.52,0.0832827346,0.1862258558,6.9227475743,14192976.78685466,Earth
54561140,(2025 VF1),2025-11-16,24.559,0.032565292,0.0728182066,7.205572996,10323084.659519117,Earth
54561365,(2025 VN1),2025-11-16,26.379,0.0140849392,0.0314948815,10.7308621315,1771139.761969847,Earth
54561651,(2025 VW3),2025-11-16,27.73,0.0075605776,0.0169059655,14.013237058,588500.158594322,Earth
